,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
125,0.9948556423187256,0.9991966485977173,0.9810693860054016,0.027499999850988388,Ensemble,Textures,2
126,0.9947394728660583,0.9992372989654541,0.9715890288352966,0.032499998807907104,MSP,Textures,2
127,0.9991074800491333,0.9998724460601807,0.994456946849823,0.0012499999720603228,Energy,Textures,2
128,0.9375536441802979,0.9883830547332764,0.7994899749755859,0.2737500071525574,Mahalanobis,Textures,2
129,0.9721287488937378,0.9943070411682129,0.9354541301727295,0.08375000208616257,ViM,Textures,2
130,0.9979447722434998,0.9997082352638245,0.9869298338890076,0.007499999832361937,Entropy,Textures,2
131,0.998644232749939,0.9998056292533875,0.991935670375824,0.007499999832361937,MaxLogit,Textures,2
132,0.9470152854919434,0.9732023477554321,0.950468897819519,0.08375000208616257,Logic-based,ImageNetO,2
133,0.9594757556915283,0.9841190576553345,0.9700420498847961,0.07999999821186066,Logic-based-OE,ImageNetO,2
134,0.8068749904632568,0.9343173503875732,0.744434118270874,1.0,Logic-only,ImageNetO,2
135,0.9542500376701355,0.9826785326004028,0.956277072429657,0.07999999821186066,Logic-only-OE,ImageNetO,2
136,0.9910043478012085,0.9958471059799194,0.9848632216453552,0.03500000014901161,Ensemble,ImageNetO,2
137,0.9929987788200378,0.9971535205841064,0.9847409725189209,0.03750000149011612,MSP,ImageNetO,2
138,0.9986506700515747,0.9994580149650574,0.9968470335006714,0.0037499999161809683,Energy,ImageNetO,2
139,0.9683537483215332,0.9830746054649353,0.9489867091178894,0.11625000089406967,Mahalanobis,ImageNetO,2
140,0.984855055809021,0.9916698932647705,0.9787507653236389,0.05249999836087227,ViM,ImageNetO,2
141,0.9971237182617188,0.9988611936569214,0.9931389689445496,0.013749999925494194,Entropy,ImageNetO,2
142,0.9980906248092651,0.9992303848266602,0.9956218004226685,0.012500000186264515,MaxLogit,ImageNetO,2
143,0.9438443183898926,0.9980579614639282,0.8141735792160034,0.09749999642372131,Logic-based,ImageNetR,2
144,0.9563133120536804,0.9987965822219849,0.8497616052627563,0.07999999821186066,Logic-based-OE,ImageNetR,2
145,0.8075249791145325,0.994514524936676,0.498783677816391,1.0,Logic-only,ImageNetR,2
146,0.9412833452224731,0.9984081387519836,0.6589949131011963,0.07999999821186066,Logic-only-OE,ImageNetR,2
147,0.9805506467819214,0.9993495941162109,0.8319002985954285,0.07249999791383743,Ensemble,ImageNetR,2
148,0.9711081385612488,0.9991438388824463,0.6536726951599121,0.13500000536441803,MSP,ImageNetR,2
149,0.9888577461242676,0.999685525894165,0.767005205154419,0.042500000447034836,Energy,ImageNetR,2
150,0.9789124727249146,0.9992784261703491,0.8203049898147583,0.0925000011920929,Mahalanobis,ImageNetR,2
151,0.990041971206665,0.9996757507324219,0.9063173532485962,0.042500000447034836,ViM,ImageNetR,2
152,0.9822266101837158,0.9994954466819763,0.6912809610366821,0.07249999791383743,Entropy,ImageNetR,2
153,0.986822783946991,0.9996232986450195,0.7569875121116638,0.05000000074505806,MaxLogit,ImageNetR,2
154,0.9377530217170715,0.990997314453125,0.8759792447090149,0.11625000089406967,Logic-based,ImageNetA,2
155,0.9520187377929688,0.9944828748703003,0.9026219844818115,0.0925000011920929,Logic-based-OE,ImageNetA,2
156,0.7709928750991821,0.9749691486358643,0.5675951242446899,1.0,Logic-only,ImageNetA,2
157,0.9131771922111511,0.9907942414283752,0.7201344966888428,1.0,Logic-only-OE,ImageNetA,2
158,0.9726126194000244,0.9962312579154968,0.8983848690986633,0.10125000029802322,Ensemble,ImageNetA,2
159,0.9727819561958313,0.9968193769454956,0.8531510829925537,0.12999999523162842,MSP,ImageNetA,2
160,0.9885385632514954,0.9987117052078247,0.9216976165771484,0.04749999940395355,Energy,ImageNetA,2
161,0.966881275177002,0.9951474666595459,0.8826035261154175,0.12125000357627869,Mahalanobis,ImageNetA,2
162,0.9854450821876526,0.9979057312011719,0.9556659460067749,0.05249999836087227,ViM,ImageNetA,2
163,0.9825448989868164,0.9980335831642151,0.8840433955192566,0.07625000178813934,Entropy,ImageNetA,2
164,0.9869412183761597,0.9985146522521973,0.9164825677871704,0.05874999985098839,MaxLogit,ImageNetA,2
165,0.9547428488731384,0.995758056640625,0.9337817430496216,0.07625000178813934,Logic-based,FoolingImages,3
166,0.9610699415206909,0.9968928098678589,0.9617813229560852,0.07750000059604645,Logic-based-OE,FoolingImages,3
167,0.8729749917984009,0.989732563495636,0.6115007996559143,1.0,Logic-only,FoolingImages,3
168,0.9592999815940857,0.9967626333236694,0.9390237927436829,0.07750000059604645,Logic-only-OE,FoolingImages,3
169,0.9954606294631958,0.9995893239974976,0.9774221777915955,0.026249999180436134,Ensemble,FoolingImages,3
170,0.9896652698516846,0.9990704655647278,0.9425364136695862,0.04374999925494194,MSP,FoolingImages,3
171,0.9969907999038696,0.9997294545173645,0.9836189150810242,0.014999999664723873,Energy,FoolingImages,3
172,0.96976238489151,0.9973430633544922,0.7772932052612305,0.17249999940395355,Mahalanobis,FoolingImages,3
173,0.9871039986610413,0.9987876415252686,0.9373658895492554,0.0625,ViM,FoolingImages,3
174,0.9959255456924438,0.9996495246887207,0.9717298746109009,0.01875000074505806,Entropy,FoolingImages,3
175,0.9960315227508545,0.9996408224105835,0.9791631102561951,0.016249999403953552,MaxLogit,FoolingImages,3
176,0.9521976709365845,0.9916316866874695,0.9390995502471924,0.07625000178813934,Logic-based,Textures,3
177,0.96004319190979,0.9942396283149719,0.9582313299179077,0.07750000059604645,Logic-based-OE,Textures,3
178,0.8400664329528809,0.9778198003768921,0.6414808630943298,1.0,Logic-only,Textures,3
179,0.9472429156303406,0.9926683306694031,0.8778940439224243,0.07750000059604645,Logic-only-OE,Textures,3
180,0.9965715408325195,0.9994734525680542,0.985851526260376,0.01875000074505806,Ensemble,Textures,3
181,0.9949578642845154,0.9992427229881287,0.9758744239807129,0.02500000037252903,MSP,Textures,3
182,0.9991992712020874,0.9998830556869507,0.995674729347229,0.0037499999161809683,Energy,Textures,3
183,0.920710027217865,0.9852687120437622,0.7471541166305542,0.32499998807907104,Mahalanobis,Textures,3
184,0.9696927070617676,0.9935418963432312,0.9305152893066406,0.09624999761581421,ViM,Textures,3
185,0.9983827471733093,0.9997672438621521,0.9903543591499329,0.007499999832361937,Entropy,Textures,3
186,0.9985913634300232,0.9997902512550354,0.9930849075317383,0.007499999832361937,MaxLogit,Textures,3
187,0.9497409462928772,0.9748786091804504,0.953301727771759,0.08124999701976776,Logic-based,ImageNetO,3
188,0.9606474041938782,0.9845340847969055,0.9707363843917847,0.07750000059604645,Logic-based-OE,ImageNetO,3
189,0.8166249990463257,0.9378919005393982,0.7526921629905701,1.0,Logic-only,ImageNetO,3
190,0.9545000791549683,0.9828380346298218,0.9546743631362915,0.07750000059604645,Logic-only-OE,ImageNetO,3
191,0.9933657050132751,0.9970482587814331,0.9878954887390137,0.029999999329447746,Ensemble,ImageNetO,3
192,0.9913544058799744,0.9962831139564514,0.9826776385307312,0.038750000298023224,MSP,ImageNetO,3
193,0.9982706308364868,0.9992798566818237,0.9962849617004395,0.0062500000931322575,Energy,ImageNetO,3
